COUNTY,RPL_THEME1,STATE
Sumter,0.7603,ALABAMA
Mobile,0.5104,ALABAMA
Clarke,0.6761,ALABAMA
Pike,0.5746,ALABAMA
Marshall,0.8243,ALABAMA
Mobile,0.7308,ALABAMA
Baldwin,0.585,ALABAMA
Talladega,0.594,ALABAMA
Jefferson,0.412,ALABAMA
Calhoun,0.8156,ALABAMA
Baldwin,0.5601,ALABAMA
Lawrence,0.717,ALABAMA
Randolph,0.541,ALABAMA
Mobile,0.6115,ALABAMA
Colbert,0.6481,ALABAMA
Mobile,0.6983,ALABAMA
Pickens,0.6381,ALABAMA
Lauderdale,0.5456,ALABAMA
Madison,0.5813,ALABAMA
Franklin,0.6727,ALABAMA
Coosa,0.6469,ALABAMA
Etowah,0.656,ALABAMA
Mobile,0.5424,ALABAMA
Jefferson,0.6234,ALABAMA
Chambers,0.4847,ALABAMA
Cullman,0.6437,ALABAMA
Lawrence,0.8027,ALABAMA
Baldwin,0.4863,ALABAMA
Tuscaloosa,0.7935,ALABAMA
Chambers,0.6087,ALABAMA
Coffee,0.7944,ALABAMA
Fayette,0.6519,ALABAMA
Etowah,0.6137,ALABAMA
Lauderdale,0.7545,ALABAMA
Jackson,0.6873,ALABAMA
Jefferson,0.6279,ALABAMA
Calhoun,0.5055,ALABAMA
Jefferson,0.6992,ALABAMA
Calhoun,0.4721,ALABAMA
Mobile,0.6584,ALABAMA
Russell,0.5677,ALABAMA
Madison,0.7479,ALABAMA
Marion,0.7621,ALABAMA
Marion,0.8604,ALABAMA
Limestone,0.7278,ALABAMA
Lee,0.6559,ALABAMA
Colbert,0.7656,ALABAMA
Baldwin,0.2944,ALABAMA
Coffee,0.7589,ALABAMA
Jefferson,0.289,ALABAMA
Montgomery,0.3872,ALABAMA
Mobile,0.6931,ALABAMA
Limestone,0.5088,ALABAMA
Montgomery,0.7992,ALABAMA
Coffee,0.6935,ALABAMA
Jefferson,0.5131,ALABAMA
Morgan,0.4978,ALABAMA
Walker,0.5495,ALABAMA
Jackson,0.8132,ALABAMA
Mobile,0.7274,ALABAMA
Lauderdale,0.6252,ALABAMA
Autauga,0.3839,ALABAMA
Madison,0.5477,ALABAMA
Cleburne,0.6114,ALABAMA
Mobile,0.6138,ALABAMA
St. Clair,0.6266,ALABAMA
Pike,0.7179,ALABAMA
Walker,0.69,ALABAMA
Mobile,0.5502,ALABAMA
Jefferson,0.5333,ALABAMA
Etowah,0.7754,ALABAMA
Cullman,0.7686,ALABAMA
Mobile,0.4968,ALABAMA
Talladega,0.7104,ALABAMA
Lawrence,0.7114,ALABAMA
Cullman,0.6486,ALABAMA
Jefferson,0.4802,ALABAMA
Coffee,0.6717,ALABAMA
Baldwin,0.4963,ALABAMA
Winston,0.7686,ALABAMA
Mobile,0.5946,ALABAMA
Shelby,0.4585,ALABAMA
Shelby,0.8727,ALABAMA
Montgomery,0.6715,ALABAMA
Jefferson,0.62,ALABAMA
Fayette,0.7455,ALABAMA
Dale,0.6789,ALABAMA
Henry,0.7778,ALABAMA
Shelby,0.5366,ALABAMA
Jefferson,0.6692,ALABAMA
Mobile,0.5803,ALABAMA
Houston,0.5663,ALABAMA
Madison,0.3759,ALABAMA
Limestone,0.667,ALABAMA
Macon,0.7312,ALABAMA
Franklin,0.8082,ALABAMA
Montgomery,0.7191,ALABAMA
Baldwin,0.5304,ALABAMA
Bibb,0.5139,ALABAMA
Bibb,0.744,ALABAMA
Franklin,0.8122,ALABAMA
Covington,0.5872,ALABAMA
Jefferson,0.7893,ALABAMA
Lauderdale,0.6543,ALABAMA
Etowah,0.5896,ALABAMA
Pike,0.7347,ALABAMA
Lee,0.7047,ALABAMA
Washington,0.7462,ALABAMA
Lawrence,0.6853,ALABAMA
Lawrence,0.6998,ALABAMA
Mobile,0.5666,ALABAMA
Jefferson,0.5859,ALABAMA
Calhoun,0.7799,ALABAMA
Morgan,0.4941,ALABAMA
Mobile,0.6888,ALABAMA
Montgomery,0.5452,ALABAMA
Covington,0.8047,ALABAMA
Walker,0.8611,ALABAMA
Cherokee,0.6526,ALABAMA
Pickens,0.7327,ALABAMA
Cullman,0.3957,ALABAMA
DeKalb,0.6798,ALABAMA
Blount,0.6001,ALABAMA
Mobile,0.705,ALABAMA
Marion,0.7722,ALABAMA
Escambia,0.7371,ALABAMA
Coffee,0.5874,ALABAMA
Marshall,0.6735,ALABAMA
Macon,0.8072,ALABAMA
Houston,0.6464,ALABAMA
Cherokee,0.8949,ALABAMA
Mobile,0.6306,ALABAMA
Montgomery,0.726,ALABAMA
Morgan,0.5426,ALABAMA
Winston,0.8353,ALABAMA
Mobile,0.6398,ALABAMA
Perry,0.8758,ALABAMA
Clarke,0.8991,ALABAMA
Madison,0.2796,ALABAMA
Autauga,0.7329,ALABAMA
Macon,0.964,ALABAMA
DeKalb,0.8401,ALABAMA
Cullman,0.6585,ALABAMA
Butler,0.504,ALABAMA
Cullman,0.6346,ALABAMA
Jefferson,0.7593,ALABAMA
Talladega,0.9031,ALABAMA
Limestone,0.628,ALABAMA
Houston,0.8431,ALABAMA
Hale,0.6495,ALABAMA
Macon,0.7484,ALABAMA
Baldwin,0.4256,ALABAMA
Tuscaloosa,0.6537,ALABAMA
Henry,0.8047,ALABAMA
Blount,0.781,ALABAMA
Talladega,0.5833,ALABAMA
Calhoun,0.5631,ALABAMA
Calhoun,0.4739,ALABAMA
Madison,0.5825,ALABAMA
Mobile,0.6565,ALABAMA
Mobile,0.6857,ALABAMA
Morgan,0.7,ALABAMA
Randolph,0.7789,ALABAMA
Lee,0.808,ALABAMA
Chambers,0.7016,ALABAMA
Mobile,0.8592,ALABAMA
DeKalb,0.5038,ALABAMA
Madison,0.6901,ALABAMA
Russell,0.6842,ALABAMA
Jackson,0.7802,ALABAMA
Jefferson,0.6564,ALABAMA
Elmore,0.6147,ALABAMA
Calhoun,0.6642,ALABAMA
Jefferson,0.7995,ALABAMA
Jefferson,0.7863,ALABAMA
Chilton,0.724,ALABAMA
Tuscaloosa,0.8635,ALABAMA
Tuscaloosa,0.485,ALABAMA
Tuscaloosa,0.5304,ALABAMA
Jefferson,0.7049,ALABAMA
Cullman,0.7517,ALABAMA
Marshall,0.5972,ALABAMA
Calhoun,0.6381,ALABAMA
Mobile,0.4018,ALABAMA
Colbert,0.6354,ALABAMA
St. Clair,0.8042,ALABAMA
Hale,0.7133,ALABAMA
Mobile,0.5052,ALABAMA
Chilton,0.5731,ALABAMA
Marshall,0.5921,ALABAMA
Lee,0.6249,ALABAMA
Chilton,0.783,ALABAMA
Hale,0.7164,ALABAMA
Jefferson,0.8001,ALABAMA
Blount,0.598,ALABAMA
Mobile,0.9375,ALABAMA
Montgomery,0.6981,ALABAMA
Washington,0.7267,ALABAMA
Chambers,0.8779,ALABAMA
Mobile,0.7005,ALABAMA
Clay,0.6412,ALABAMA
Talladega,0.7649,ALABAMA
Lee,0.71,ALABAMA
Houston,0.7742,ALABAMA
Shelby,0.486,ALABAMA
Walker,0.7861,ALABAMA
Mobile,0.5232,ALABAMA
Marengo,0.5556,ALABAMA
Dallas,0.6369,ALABAMA
Talladega,0.7038,ALABAMA
Marengo,0.7526,ALABAMA
Escambia,0.5126,ALABAMA
Butler,0.8911,ALABAMA
Monroe,0.8617,ALABAMA
Washington,0.6509,ALABAMA
Jefferson,0.7053,ALABAMA
Monroe,0.9861,ALABAMA
Jefferson,0.8973,ALABAMA
Jefferson,0.6321,ALABAMA
Colbert,0.7876,ALABAMA
Blount,0.7449,ALABAMA
Jefferson,0.5631,ALABAMA
Etowah,0.8738,ALABAMA
Jefferson,0.733,ALABAMA
Randolph,0.6132,ALABAMA
Limestone,0.7907,ALABAMA
Lauderdale,0.5553,ALABAMA
Mobile,0.7212,ALABAMA
Shelby,0.7425,ALABAMA
Mobile,0.6059,ALABAMA
Baldwin,0.6683,ALABAMA
Clarke,0.6278,ALABAMA
Mobile,0.7373,ALABAMA
Mobile,0.7003,ALABAMA
Crenshaw,0.8184,ALABAMA
Autauga,0.5659,ALABAMA
Mobile,0.8881,ALABAMA
Butler,0.6182,ALABAMA
Calhoun,0.7692,ALABAMA
Calhoun,0.8877,ALABAMA
Monroe,0.8401,ALABAMA
Monroe,0.9641,ALABAMA
Chambers,0.6512,ALABAMA
Limestone,0.8454,ALABAMA
Mobile,0.8616,ALABAMA
Tuscaloosa,0.8117,ALABAMA
Cleburne,0.8559,ALABAMA
Walker,0.843,ALABAMA
Talladega,0.7284,ALABAMA
Shelby,0.6286,ALABAMA
Jefferson,0.8236,ALABAMA
Mobile,0.7475,ALABAMA
Jefferson,0.8008,ALABAMA
Blount,0.5982,ALABAMA
Walker,0.5924,ALABAMA
Russell,0.6508,ALABAMA
Mobile,0.9882,ALABAMA
Montgomery,0.5903,ALABAMA
Conecuh,0.8792,ALABAMA
Morgan,0.626,ALABAMA
Jefferson,0.5979,ALABAMA
Cullman,0.7777,ALABAMA
Covington,0.8451,ALABAMA
Calhoun,0.9051,ALABAMA
Chambers,0.4898,ALABAMA
Tuscaloosa,0.8358,ALABAMA
Henry,0.7267,ALABAMA
Colbert,0.7253,ALABAMA
Mobile,0.595,ALABAMA
Pike,0.8042,ALABAMA
Colbert,0.8192,ALABAMA
Fayette,0.5892,ALABAMA
Montgomery,0.6601,ALABAMA
Autauga,0.7533,ALABAMA
Calhoun,0.7818,ALABAMA
Mobile,0.6407,ALABAMA
Covington,0.7869,ALABAMA
St. Clair,0.6946,ALABAMA
Lee,0.6874,ALABAMA
Walker,0.8088,ALABAMA
Jefferson,0.6838,ALABAMA
Walker,0.8754,ALABAMA
Elmore,0.6077,ALABAMA
Dallas,0.915,ALABAMA
Shelby,0.8774,ALABAMA
Mobile,0.6788,ALABAMA
Madison,0.6745,ALABAMA
Henry,0.861,ALABAMA
Jackson,0.6274,ALABAMA
Conecuh,0.8921,ALABAMA
Covington,0.6911,ALABAMA
St. Clair,0.7645,ALABAMA
Baldwin,0.6204,ALABAMA
Coffee,0.7316,ALABAMA
DeKalb,0.7904,ALABAMA
Calhoun,0.9219,ALABAMA
Russell,0.69,ALABAMA
Talladega,0.7558,ALABAMA
Mobile,0.8016,ALABAMA
Montgomery,0.7855,ALABAMA
St. Clair,0.7455,ALABAMA
Elmore,0.8069,ALABAMA
Mobile,0.7248,ALABAMA
Montgomery,0.517,ALABAMA
Dale,0.669,ALABAMA
Madison,0.7751,ALABAMA
Elmore,0.7689,ALABAMA
Crenshaw,0.6937,ALABAMA
Jefferson,0.652,ALABAMA
Jefferson,0.7999,ALABAMA
Marengo,0.7741,ALABAMA
Marshall,0.8083,ALABAMA
Mobile,0.9656,ALABAMA
Morgan,0.5444,ALABAMA
Montgomery,0.5773,ALABAMA
Tuscaloosa,0.6404,ALABAMA
Marshall,0.6166,ALABAMA
Autauga,0.7065,ALABAMA
Chambers,0.7767,ALABAMA
Cullman,0.8595,ALABAMA
Blount,0.707,ALABAMA
Houston,0.6649,ALABAMA
Marengo,0.9246,ALABAMA
Jefferson,0.7904,ALABAMA
Clarke,0.9001,ALABAMA
Washington,0.8279,ALABAMA
Walker,0.8036,ALABAMA
Jefferson,0.6816,ALABAMA
Escambia,0.9092,ALABAMA
Madison,0.7127,ALABAMA
Franklin,0.9418,ALABAMA
Chilton,0.7634,ALABAMA
Marion,0.6019,ALABAMA
Jefferson,0.6188,ALABAMA
Colbert,0.7869,ALABAMA
Jefferson,0.9411,ALABAMA
Mobile,0.8615,ALABAMA
Randolph,0.6988,ALABAMA
Montgomery,0.4131,ALABAMA
Talladega,0.7062,ALABAMA
Jackson,0.8388,ALABAMA
Mobile,0.697,ALABAMA
DeKalb,0.6931,ALABAMA
Mobile,0.8539,ALABAMA
Coffee,0.8552,ALABAMA
Jackson,0.834,ALABAMA
Fayette,0.853,ALABAMA
Marengo,0.7107,ALABAMA
Colbert,0.7424,ALABAMA
Montgomery,0.6564,ALABAMA
Morgan,0.735,ALABAMA
Escambia,0.8888,ALABAMA
Mobile,0.792,ALABAMA
Jefferson,0.8353,ALABAMA
Mobile,0.8942,ALABAMA
Lauderdale,0.7279,ALABAMA
Jefferson,0.7684,ALABAMA
Baldwin,0.7817,ALABAMA
Houston,0.7269,ALABAMA
Tallapoosa,0.8739,ALABAMA
Choctaw,0.6284,ALABAMA
Russell,0.88,ALABAMA
Elmore,0.7143,ALABAMA
Jefferson,0.8363,ALABAMA
Baldwin,0.6227,ALABAMA
Limestone,0.7953,ALABAMA
Tuscaloosa,0.6831,ALABAMA
Montgomery,0.9508,ALABAMA
Pike,0.762,ALABAMA
Covington,0.8047,ALABAMA
Walker,0.971,ALABAMA
Dale,0.8474,ALABAMA
Chilton,0.8217,ALABAMA
Talladega,0.8595,ALABAMA
Coffee,0.5182,ALABAMA
Jefferson,0.913,ALABAMA
Wilcox,0.9021,ALABAMA
Tuscaloosa,0.9757,ALABAMA
Geneva,0.8979,ALABAMA
Escambia,0.8809,ALABAMA
Geneva,0.7768,ALABAMA
Dallas,0.8805,ALABAMA
Dale,0.8023,ALABAMA
Barbour,0.7694,ALABAMA
Tallapoosa,0.6833,ALABAMA
Shelby,0.6226,ALABAMA
Talladega,0.8557,ALABAMA
Jefferson,0.8467,ALABAMA
Marion,0.7068,ALABAMA
Monroe,0.9489,ALABAMA
Walker,0.7513,ALABAMA
Randolph,0.915,ALABAMA
Mobile,0.9228,ALABAMA
Chambers,0.6659,ALABAMA
Marion,0.7675,ALABAMA
Winston,0.6986,ALABAMA
Macon,0.8961,ALABAMA
Jefferson,0.7608,ALABAMA
Etowah,0.7666,ALABAMA
Hale,0.8791,ALABAMA
Mobile,0.7487,ALABAMA
Lauderdale,0.8154,ALABAMA
Clarke,0.7398,ALABAMA
Talladega,0.7232,ALABAMA
