STATE,COUNTY,NAME_LEA21,NAME_COUNTY21
02,000,Kashunamiut School District,Kusilvak Census Area
02,006,St. Marys City School District,Kusilvak Census Area
02,004,Lake and Peninsula Borough School District,Lake and Peninsula Borough
02,005,Matanuska-Susitna Borough School District,Matanuska-Susitna Borough
02,000,Bering Strait School District,Nome Census Area
02,005,Nome School District,Nome Census Area
02,006,North Slope Borough School District,North Slope Borough
02,006,Northwest Arctic Borough School District,Northwest Arctic Borough
02,006,Petersburg Borough School District,Petersburg Borough
02,000,Craig City School District,Prince of Wales-Hyder Census Area
02,003,Hydaburg City School District,Prince of Wales-Hyder Census Area
02,003,Kake City School District,Prince of Wales-Hyder Census Area
02,004,Klawock City School District,Prince of Wales-Hyder Census Area
02,005,Annette Island School District,Prince of Wales-Hyder Census Area
02,007,Southeast Island School District,Prince of Wales-Hyder Census Area
02,002,Sitka School District,Sitka City and Borough
02,006,Skagway School District,Skagway Municipality
02,001,Delta/Greely School District,Southeast Fairbanks Census Area
02,008,Wrangell School District,Wrangell City and Borough
02,008,Yakutat School District,Yakutat City and Borough
02,001,Galena City School District,Yukon-Koyukuk Census Area
02,005,Nenana City School District,Yukon-Koyukuk Census Area
02,007,Tanana City School District,Yukon-Koyukuk Census Area
02,008,Yukon-Koyukuk School District,Yukon-Koyukuk Census Area
04,000,Vernon Elementary District,Apache County
04,006,Alpine Elementary District,Apache County
04,019,Chinle Unified District,Apache County
04,021,Concho Elementary District,Apache County
04,032,Ganado Unified District,Apache County
04,048,McNary Elementary District,Apache County
04,067,Sanders Unified District,Apache County
04,068,Red Mesa Unified District,Apache County
04,071,Round Valley Unified District,Apache County
04,080,St. Johns Unified District,Apache County
04,094,Window Rock Unified District,Apache County
04,002,Benson Unified School District,Cochise County
04,007,Apache Elementary District,Cochise County
04,008,Ash Creek Elementary District,Cochise County
04,011,Bisbee Unified District,Cochise County
04,013,Bowie Unified District,Cochise County
04,014,Sierra Vista Unified District,Cochise County
04,021,Cochise Elementary District,Cochise County
04,024,Double Adobe Elementary District,Cochise County
04,025,Douglas Unified District,Cochise County
04,027,Elfrida Elementary District,Cochise County
04,031,Fort Huachuca Accommodation District,Cochise County
04,049,McNeal Elementary District,Cochise County
04,054,Naco Elementary District,Cochise County
04,058,Palominas Elementary District,Cochise County
04,061,Pearce Elementary District,Cochise County
04,066,Pomerene Elementary District,Cochise County
04,071,Rucker Elementary District,Cochise County
04,074,San Simon Unified District,Cochise County
04,080,St. David Unified District,Cochise County
04,086,Tombstone Unified District,Cochise County
04,089,Valley Union High School District,Cochise County
04,092,Willcox Unified District,Cochise County
04,019,Chevelon Butte School District,Coconino County
04,028,Flagstaff Unified District,Coconino County
04,035,Grand Canyon Unified District,Coconino County
04,045,Maine Consolidated School District,Coconino County
04,058,Page Unified District,Coconino County
04,086,Tuba City Unified District,Coconino County
04,093,Williams Unified District,Coconino County
04,035,Globe Unified District,Gila County
04,037,Hayden-Winkelman Unified District,Gila County
04,050,Miami Unified District,Gila County
04,057,Tonto Basin Elementary District,Gila County
04,060,Payson Unified District,Gila County
04,095,Young Elementary School District,Gila County
04,012,Bonita Elementary District,Graham County
04,032,Fort Thomas Unified District,Graham County
04,042,Klondyke Elementary District,Graham County
04,064,Pima Unified District,Graham County
04,072,Safford Unified District,Graham County
04,078,Solomon Elementary District,Graham County
04,084,Thatcher Unified District,Graham County
04,012,Blue Elementary District,Greenlee County
04,026,Duncan Unified District,Greenlee County
04,027,Eagle Elementary District,Greenlee County
04,053,Morenci Unified District,Greenlee County
04,000,Salome Consolidated Elementary District,La Paz County
04,011,Bicentennial Union High School District,La Paz County
04,012,Bouse Elementary District,La Paz County
04,059,Parker Unified School District,La Paz County
04,067,Quartzsite Elementary District,La Paz County
04,091,Wenden Elementary District,La Paz County
04,000,Cave Creek Unified District,Maricopa County
04,004,Agua Fria Union High School District,Maricopa County
04,004,Aguila Elementary District,Maricopa County
04,006,Alhambra Elementary District,Maricopa County
04,008,Arlington Elementary District,Maricopa County
04,009,Avondale Elementary District,Maricopa County
04,010,Balsz Elementary District,Maricopa County
04,013,Buckeye Elementary District,Maricopa County
04,014,Buckeye Union High School District,Maricopa County
04,016,Cartwright Elementary District,Maricopa County
04,018,Chandler Unified District,Maricopa County
04,024,Creighton Elementary District,Maricopa County
04,026,Dysart Unified District,Maricopa County
04,030,Fountain Hills Unified District,Maricopa County
04,030,Fowler Elementary District,Maricopa County
04,033,Gila Bend Unified District,Maricopa County
04,034,Gilbert Unified District,Maricopa County
04,034,Glendale Elementary District,Maricopa County
04,034,Glendale Union High School District,Maricopa County
04,037,Higley Unified District,Maricopa County
04,039,Isaac Elementary District,Maricopa County
04,042,Kyrene Elementary District,Maricopa County
04,042,Laveen Elementary District,Maricopa County
04,043,Liberty Elementary District,Maricopa County
04,043,Litchfield Elementary District,Maricopa County
04,044,Littleton Elementary District,Maricopa County
04,045,Madison Elementary District,Maricopa County
04,049,Mesa Unified District,Maricopa County
04,051,Mobile Elementary District,Maricopa County
04,053,Morristown Elementary District,Maricopa County
04,054,Murphy Elementary District,Maricopa County
04,054,Nadaburg Unified School District,Maricopa County
04,056,Osborn Elementary District,Maricopa County
04,058,Palo Verde Elementary District,Maricopa County
04,059,Paradise Valley Unified District,Maricopa County
04,062,Pendergast Elementary District,Maricopa County
04,062,Peoria Unified School District,Maricopa County
04,063,Phoenix Elementary District,Maricopa County
04,063,Phoenix Union High School District,Maricopa County
04,068,Queen Creek Unified District,Maricopa County
04,070,Riverside Elementary District,Maricopa County
04,070,Roosevelt Elementary District,Maricopa County
04,071,Saddle Mountain Unified School District,Maricopa County
04,075,Scottsdale Unified District,Maricopa County
04,076,Sentinel Elementary District,Maricopa County
04,077,Deer Valley Unified District,Maricopa County
04,083,Tempe School District,Maricopa County
04,083,Tempe Union High School District,Maricopa County
04,084,Paloma School District,Maricopa County
04,084,Tolleson Elementary District,Maricopa County
04,085,Tolleson Union High School District,Maricopa County
04,088,Union Elementary District,Maricopa County
04,090,Washington Elementary District,Maricopa County
04,093,Wilson Elementary District,Maricopa County
04,000,Colorado City Unified District,Mohave County
04,000,Colorado River Union High School District,Mohave County
04,002,Kingman Unified School District,Mohave County
04,015,Bullhead City School District,Mohave County
04,036,Hackberry School District,Mohave County
04,042,Lake Havasu Unified District,Mohave County
04,044,Littlefield Unified District,Mohave County
04,051,Mohave Valley Elementary District,Mohave County
04,057,Owens-Whitney Elementary District,Mohave County
04,061,Peach Springs Unified District,Mohave County
04,086,Topock Elementary District,Mohave County
04,088,Valentine Elementary District,Mohave County
04,095,Yucca Elementary District,Mohave County
04,000,Pinon Unified District,Navajo County
04,000,Heber-Overgaard Unified District,Navajo County
04,018,Cedar Unified District,Navajo County
04,038,Holbrook Unified District,Navajo County
04,040,Joseph City Unified District,Navajo County
04,040,Kayenta Unified District,Navajo County
04,065,Blue Ridge Unified District,Navajo County
04,077,Show Low Unified District,Navajo County
04,078,Snowflake Unified District,Navajo County
04,094,Winslow Unified District,Navajo County
04,005,Ajo Unified District,Pima County
