SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2009-10	01	0100780	-3	792	-3.0	168	216	77.8	9
2009-10	01	0100810	-3	666	-3.0	156	190	82.1	4
2009-10	01	0100840	39	855	4.6	162	245	66.1	16
2009-10	01	0100870	-3	447	-3.0	87	144	60.4	3
2009-10	01	0100900	-3	390	-3.0	63	131	48.1	16
2009-10	01	0100930	-3	954	-3.0	201	274	73.4	10
2009-10	01	0100960	-3	690	-3.0	166	204	81.4	6
2009-10	01	0100990	-3	934	-3.0	194	228	85.1	6
2009-10	01	0101020	-3	2892	-3.0	567	779	72.8	29
2009-10	01	0101050	-3	817	-3.0	175	225	77.8	7
2009-10	01	0101080	-3	370	-3.0	75	103	72.8	2
2009-10	01	0101110	-3	1309	-3.0	233	364	64.0	49
2009-10	01	0101140	-3	2473	-3.0	225	685	32.8	17
2009-10	01	0101170	-3	2543	-3.0	496	756	65.6	9
2009-10	01	0101200	-3	756	-3.0	158	198	79.8	13
2009-10	01	0101230	-3	2492	-3.0	468	698	67.0	24
2009-10	01	0101260	-3	242	-3.0	48	62	77.4	3
2009-10	01	0101290	-3	3407	-3.0	717	926	77.4	39
2009-10	01	0101320	-3	1931	-3.0	412	511	80.6	20
2009-10	01	0101350	-3	1282	-3.0	253	353	71.7	16
2009-10	01	0101380	-3	2637	-3.0	504	692	72.8	19
2009-10	01	0101410	-3	804	-3.0	184	254	72.4	12
